time,descriptions,h,mae,rmse,mape
2021-11-24T22:08:40,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6), AIC=8128.009932770374, BIC=8178.560915048659)",1,1.2202006079109275,1.2202006079109275,0.025345481254836193
2021-11-24T22:08:40,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6), AIC=8124.414971799817, BIC=8174.961523854041)",2,1.3999727743272268,1.486969738038122,0.02896862450756844
2021-11-24T22:08:40,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6), AIC=8119.9447568391115, BIC=8170.486876487434)",3,0.9238977735112417,1.014277742443282,0.019152210010093502
2021-11-24T22:08:40,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6), AIC=8115.696084954823, BIC=8166.233770013256)",4,1.2726764087565923,1.4338578906157233,0.026331311416426466
2021-11-24T22:08:40,"ARIMA(order=(2, 1, 3), seasonal_order=(1, 0, 1, 6), AIC=8112.302177255423, BIC=8162.835425537823)",5,1.2019955520568957,1.3630214894563053,0.02546250156736129
2021-11-24T22:09:25,Random Walk,1,1.2160000000000004,1.2160000000000004,0.02526225390878789
2021-11-24T22:09:25,Random Walk,2,1.3860000000000006,1.4671995792444714,0.028696504786572947
2021-11-24T22:09:25,Random Walk,3,0.8766666666666667,0.9761044872219594,0.018186138795495792
2021-11-24T22:09:25,Random Walk,4,1.2525000000000008,1.4105629440911087,0.025915951149391193
2021-11-24T22:09:25,Random Walk,5,1.1850000000000005,1.3489772850047896,0.02512616064449539
